Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
213,Chidiyaghar,10,Nill,-,Unmatched
214,Khanpur Gaon,10,Khanpur,26,Alias Match
215,Anand Vihar Terminal,10,Anand Vihar,151,Alias Match
216,Vinobapuri,10,Vinobapuri (Lajpat Nagar),3,Alias Match
217,Safdarjung Terminal,10,Safdarjung Hospital / Enclave,218,Alias Match
218,Uttam Nagar Terminal,10,Uttam Nagar,225,Alias Match
219,Sector 62,10,Vasant Kunj Sector A,274,AI Match (80%)
220,Sarojini Market,10,Sarojini Nagar,213,AI Match (75%)
221,Indrapuri Krishi Kunj,10,Nill,-,Unmatched
222,Jamiya,9,Jamia Millia Islamia,273,AI Match (90%)
223,Safdarjung Hospital,9,Safdarjung Hospital,218,Alias Match
224,Daryaganj,9,Daryaganj,167,Alias Match
225,Tughalakabad Delhi,9,Tughlakabad Extn,280,AI Match (76%)
226,Paschim Vihar,9,Paschim Vihar,154,Alias Match
227,Sadar Bajar,9,Nill,-,Unmatched
228,Dwarika,9,Dwarka,246,AI Match (92%)
229,Panchsheel,9,Panchsheel Park,11,AI Match (100%)
230,Jaitpur,9,Jaitpur,283,Alias Match
231,Okhla Extension,9,Okhla,287,Alias Match
232,Azadpur Metro Station,9,Nill,-,Unmatched
233,Difference Colony,9,Defence Colony,14,AI Match (83%)
234,Pant Nagar,9,Pant Nagar,14,Alias Match
235,Devoli Village,9,Ali Village,283,AI Match (80%)
236,Jaunpur,9,Jungpura,14,AI Match (80%)
237,Kirti Nagar,9,Kirti Nagar,160,Exact Ward Match
238,Tigdi,9,Tigri,25,AI Match (80%)
239,Neb Sarai,9,Ber Sarai,269,AI Match (77%)
240,Ambedkar Park,9,Ambedkar Nagar,22,AI Match (81%)
241,Bhati Mines,9,Bhati,295,Sub-Ward Match
242,Yamuna Vihar,8,Yamuna Vihar,76,Exact Ward Match
243,Sangamvihar,8,Sangam Vihar,292,AI Match (95%)
244,Bhajanpura,8,Bhajanpura,81,Exact Ward Match
245,Mahroli,8,Nill,-,Unmatched
246,Akshardham,8,Ashram Chowk,14,AI Match (75%)
247,Kalka Ji Delhi,8,Nill,-,Unmatched
248,Pragati Vihar,8,Pratap Vihar,106,AI Match (80%)
249,Rajiv Chowk,8,Connaught Place (Rajiv Chowk),211,Alias Match
250,Mandi House,8,Nill,-,Unmatched
251,Patparganj,8,Patparganj,234,Alias Match
252,Kutub Minar,8,Mehrauli (Qutub Minar),278,AI Match (90%)
253,Madan Puri,8,Kardam Puri,90,AI Match (76%)
254,Pushpa Bhavan,8,Nill,-,Unmatched
255,Otla,8,Kotla Mubarakpur,2,Sub-Ward Match
256,Ashok Vihar,8,Ashok Vihar,74,Alias Match
257,Anand Vihar Isbt,8,Anand Vihar ISBT,151,Alias Match
258,Dakshin Puri,8,Dakshinpuri,18,AI Match (95%)
259,Indralok,8,Nill,-,Unmatched
260,Inderpuri Krishi Kunj,8,Nill,-,Unmatched
261,Sector 14 Noida,8,Sector 14 Noida,Outside,Outside Delhi
262,Noida Sector 32,8,Noida Sector 32,Outside,Outside Delhi
263,Dera Village,8,Ali Village,283,AI Match (78%)
264,Palam,7,Palam,255,Exact Ward Match
265,Sangam Bihar,7,Sangam Vihar,292,AI Match (91%)
266,Trilokpuri,7,Nill,-,Unmatched
267,Jungpura,7,Jungpura,14,Alias Match
268,Noida Sector 62,7,Noida Sector 62,Outside,Outside Delhi
269,Sarhol,7,Nill,-,Unmatched
270,Patel Nagar,7,Patel Nagar,182,Alias Match
271,Nahru Place,7,Nehru Place,13,AI Match (90%)
272,Delhi Gate,7,Delhi Cantonment,215,AI Match (76%)
273,Dhachanpuri,7,Nill,-,Unmatched
274,Mohan Estate,7,Nill,-,Unmatched
275,Railway Station Gate 2,7,Hazrat Nizamuddin Railway Station,14,AI Match (81%)
276,Isbt Anand Vihar,7,ISBT Kashmere Gate,153,Alias Match
277,Sultanpuri,7,Sultanpuri  South,111,Sub-Ward Match
278,Sarojini,7,Sarojini Nagar,213,AI Match (100%)
279,Netaji Nagar,7,Nauroji Nagar,213,AI Match (80%)
280,Sarojani Market,7,Nill,-,Unmatched
281,Mandoli,7,Mandawali,200,AI Match (75%)
282,Millennium City Gurugram,7,Millennium City Gurugram,Outside,Outside Delhi
283,Rani Bagh,7,Rani Bagh,118,Exact Ward Match
284,Vikash Puri,7,Vikas Puri,207,AI Match (95%)
285,Khan Market,7,Khan Market,212,Alias Match
286,Okhala,7,Okhla,268,AI Match (90%)
287,Safdarajang Hospital,7,Safdarjung Hospital,218,AI Match (92%)
288,Fatehpur Beri,7,Nill,-,Unmatched
289,Chadni Chowk,7,Chandni Chowk,153,AI Match (96%)
290,Aiims (Hospital),7,AIIMS (Ansari Nagar),218,Alias Match
291,Jj Colony,7,Kailash Colony,9,AI Match (80%)
292,Igi Airport Terminal 2,7,Nill,-,Unmatched
293,Haryana,7,Haryana,Outside,Outside Delhi
294,Firni Road,7,Nill,-,Unmatched
295,Test,6,Nill,-,Unmatched
296,Maruti Kunj,6,Nill,-,Unmatched
297,Pushpa Bhawan,6,Nill,-,Unmatched
298,Delhi,6,Delhi Cantt Charge 1,215,Sub-Ward Match
299,Malvinager,6,Malviya Nagar,13,AI Match (78%)
300,Najafgarh,6,Najafgarh,252,Alias Match
301,Sakat,6,Saket,16,AI Match (80%)
302,Jaipur,6,Jaitpur,282,AI Match (92%)
303,Jawaharlal Nehru Stadium,6,Nill,-,Unmatched
304,Madanpur,6,Madanpur Khadar,278,Sub-Ward Match
305,Ballabhgarh,6,Ballabhgarh,Outside,Outside Delhi
306,Gandhinagar,6,Gandhi Nagar,149,AI Match (95%)
307,Gazipur,6,Alipur,31,AI Match (76%)
308,Khanpur Tigdi,6,Khanpur,26,Alias Match
309,High Court,6,Nill,-,Unmatched
310,Lal Kila,6,Nill,-,Unmatched
311,Seemapuri,6,Seelampur,240,AI Match (77%)
312,Dhachan Puri,6,Nill,-,Unmatched
313,Ambedkar Nagar Sector 5,6,Ambedkar Nagar,18,Alias Match
314,Anand Vihar Railway Station,6,Anand Vihar,151,Alias Match
315,Lakshmi Nagar,6,Laxmi Nagar,188,AI Match (83%)
316,Anand Niketan,6,Nill,-,Unmatched
317,Ambedkar Nagar Sector 4,6,Ambedkar Nagar,18,Alias Match
318,Kendriya Terminal,6,Nill,-,Unmatched
319,Nangloi,6,Nangloi East,132,Sub-Ward Match
320,New Delhi Railway Station Gate No 2,6,New Delhi Railway Station,182,Alias Match
321,Supreme Court,6,Nill,-,Unmatched
322,Shiniwas Puri,6,Nill,-,Unmatched
323,Shankar Vihar,6,Sangam Vihar,292,AI Match (80%)
324,Mohan Nagar,6,Mohan Garden,209,AI Match (78%)
325,Greater Kelash,6,Greater Kailash,9,AI Match (89%)
326,Sector 14 Gurugram,6,Sector 14 Gurugram,Outside,Outside Delhi
327,Ambedkar Nagar Terminal,6,Ambedkar Nagar,18,Alias Match
328,Saket Metro,6,Saket,16,Alias Match
329,Fatehpur,6,Nill,-,Unmatched
330,Chiraag Delhi,6,Chirag Delhi,14,AI Match (96%)
331,Ludo Sarai,6,Ladosarai,20,AI Match (84%)
332,Panjabi Bagh,6,Punjabi Bagh,141,AI Match (91%)
333,Madangate,6,Nill,-,Unmatched
334,Dwarka Metro Station,6,Dwarka,246,Alias Match
335,Minto Road,6,Minto Road,192,Alias Match
336,Lazpat Nagar,6,Lajpat Nagar,3,AI Match (91%)
337,Ashram Lajpat Nagar,6,Lajpat Nagar,6,Alias Match
338,Oklha,6,Okhla,268,AI Match (80%)
339,Mahorli,5,Nill,-,Unmatched
340,Vikaspuri,5,Vikaspuri,210,Alias Match
341,Inderpuri,5,Inder Puri,202,AI Match (94%)
342,Dadri,5,Dabri,236,AI Match (80%)
343,Patel Chowk,5,Nill,-,Unmatched
344,Jamia Delhi,5,Jamia Millia Islamia,273,Alias Match
345,Gk,5,Greater Kailash,9,Alias Match
346,Shaheen Bagh,5,Shaheen Bagh,273,Alias Match
347,Welcome,5,Welcome Colony,122,Sub-Ward Match
348,Jasola,5,Jasola Vihar,273,Alias Match
349,Rajeev Gandi,5,Nill,-,Unmatched
350,Azadpur,5,Nill,-,Unmatched
351,Gandi Nagar,5,Gandhi Nagar,149,AI Match (95%)
352,Karampura Terminal,5,Rampura,123,Sub-Ward Match
353,Pratap Vihar,5,Pratap Vihar,106,Exact Ward Match
354,Arjangarh,5,Najafgarh,231,AI Match (77%)
355,Panchsheel Enclave,5,Panchsheel Enclave,15,Alias Match
356,Dilshad Garden,5,Dilshad Garden,236,Alias Match
357,Shahdara Terminal,5,Shahdara,232,Alias Match
358,Sarojni,5,Nill,-,Unmatched
359,Shri Nivas Puri,5,Sri Niwaspuri,266,AI Match (85%)
360,Airport Delhi,5,Nill,-,Unmatched
361,Ashok Nagar,5,Ashok Nagar,84,Exact Ward Match
362,Narayana,5,Naraina,204,AI Match (80%)
363,Aims Hospital,5,AIIMS (Ansari Nagar),218,AI Match (96%)
364,Lajpat Nagar Metro,5,Lajpat Nagar,6,Alias Match
365,Nizamuddin West,5,Nizamuddin West,14,Alias Match
366,Jangpura Extension,5,IP Extension,234,AI Match (85%)
367,Sarojni Market,5,Nill,-,Unmatched
368,Sector 18 Noida,5,Sector 18 Noida,Outside,Outside Delhi
369,Sector 15 Noida,5,Sector 15 Noida,Outside,Outside Delhi
370,Pashcim Vihar,5,Paschim Vihar,154,AI Match (92%)
371,Raju Park,5,Chitranjan Park,15,AI Match (75%)
372,Greater Kailash Phase 2,5,Greater Kailash,9,Alias Match
373,Qamruddin Nagar Terminal,5,Nill,-,Unmatched
374,Mayur Vihar Phase 3,5,Mayur Vihar Phase III,223,Alias Match
375,Grugram,5,Nill,-,Unmatched
376,Madan Gate,5,Nill,-,Unmatched
377,Alaknanda,5,Alaknanda,15,Alias Match
378,Devli Village,5,Deoli,26,Alias Match
379,Qutb Minar,5,Mehrauli (Qutub Minar),278,AI Match (95%)
380,Siri Fort,5,Nill,-,Unmatched
381,Kalka Ji Mandir,5,Nill,-,Unmatched
382,Lajpat Nagar Delhi,5,Lajpat Nagar,6,Alias Match
383,Kalika Devi Mandir,5,Nill,-,Unmatched
384,Mayur Vihar Phase 1,5,Mayur Vihar Phase I,234,Alias Match
385,Sector 68 Noida,5,Sector 68 Noida,Outside,Outside Delhi
386,Shahbad Mohammad,5,Nill,-,Unmatched
387,Panchsheel Park Metro Station,5,Panchsheel Park,11,Alias Match
388,Bus Stand,5,Nill,-,Unmatched
389,Aiims(Hospital),5,AIIMS (Ansari Nagar),218,Alias Match
390,Delhi Railway Station,4,New Delhi Railway Station,182,AI Match (100%)
391,Manesar,4,Manesar,Outside,Outside Delhi
392,Safdarjung Delhi,4,Safdarjung Hospital / Enclave,218,Alias Match
393,Moolchand Delhi,4,Nill,-,Unmatched
394,Lodhi Road Crossing,4,Lodhi Road,212,Alias Match
395,Tuglakabbad,4,Tughlakabad,281,AI Match (90%)
396,Shahpur,4,Shakarpur,203,AI Match (75%)
397,Munrika,4,Munirka,270,AI Match (85%)
398,Kalak,4,Nill,-,Unmatched
399,Tuglakebad,4,Tughlakabad,281,AI Match (85%)
400,Govindpuri Delhi,4,Nill,-,Unmatched
401,Jamrudpur,4,Nill,-,Unmatched
402,Tughalakabad,4,Tughlakabad,281,AI Match (95%)
