Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
940,Malivya Nagar,1,Malviya Nagar,13,AI Match (92%)
941,Basantvihaar,1,Vasant Vihar,269,AI Match (83%)
942,Shadipur,1,Madipur,136,AI Match (80%)
943,Vashant Vihar,1,Vasant Vihar,269,AI Match (96%)
944,Govindpuri Puri Delhi,1,Nill,-,Unmatched
945,Kal Ka Ji Mandir,1,Nill,-,Unmatched
946,Sangam Bihar H Block 14No Gali Delhi,1,Nill,-,Unmatched
947,Rohini Sector 18,1,Rohini,44,Alias Match
948,Jamna Par Kardampuri Delhi,1,Nill,-,Unmatched
949,Moolchan,1,Nill,-,Unmatched
950,Sashtrinagar,1,Nill,-,Unmatched
951,Jhagir Puri,1,Jahangir Puri -Ii,45,AI Match (81%)
952,Sector 7,1,Vasant Kunj Sector A,274,AI Match (85%)
953,India Gate Sector 12,1,Nill,-,Unmatched
954,Tugalakebad Aria Mahorli Badarpur,1,Badarpur,283,Alias Match
955,Anugoonj,1,Nill,-,Unmatched
956,Patel Vihar,1,Pratap Vihar,106,AI Match (78%)
957,Sankarpura,1,Shakarpur,203,AI Match (84%)
958,Horse Cars,1,Nill,-,Unmatched
959,Sector 12 Lucknow,1,Nill,-,Unmatched
960,Madan Ge,1,Nill,-,Unmatched
961,Tugalkabad Kila,1,Nill,-,Unmatched
962,Saraie Kha,1,Nill,-,Unmatched
963,Tuglakbad,1,Tughlakabad,281,AI Match (90%)
964,Dakshinpuri Sector 10,1,Dakshinpuri,18,Alias Match
965,Mahorli Bus Tarminal,1,Nill,-,Unmatched
966,Okhla Phase _1,1,Okhla Industrial Area Phase I,287,Alias Match
967,South Extense,1,South Extension,12,AI Match (85%)
968,Sadipur,1,Madipur,136,AI Match (85%)
969,Mehrauli Terminal Delhi,1,Mehrauli,278,Alias Match
970,Chanakya,1,Chanakyapuri,217,AI Match (80%)
971,Sangmbihar,1,Sangam Vihar,292,AI Match (81%)
972,Dheeraj Nagar Faridabad,1,Dheeraj Nagar Faridabad,Outside,Outside Delhi
973,Vasant Kuj,1,Vasant Kunj,274,AI Match (95%)
974,Isbt Kasmere Gate,1,ISBT Kashmere Gate,153,Alias Match
975,Hamdardnagar,1,Ambedkar Nagar,22,AI Match (76%)
976,Chhhatrpur,1,Chhatarpur,290,AI Match (90%)
977,Sashi Bihar,1,Nill,-,Unmatched
978,Cr Park Delhi,1,Chitranjan Park,15,Alias Match
979,Gk Gatter Class,1,Greater Kailash,9,AI Match (100%)
980,Sab Darjan Hospital,1,Nill,-,Unmatched
981,Jaymai,1,Nill,-,Unmatched
982,Ambedkar Nagar Sec 4,1,Ambedkar Nagar,18,Alias Match
983,Param Sec1,1,Nill,-,Unmatched
984,Delhi Highcourt,1,Nill,-,Unmatched
985,Sangam Vihrar Delhi,1,Sangam Vihar East,285,AI Match (77%)
986,Lala Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
987,Bhoguo Pur Junction,1,Nill,-,Unmatched
988,Saikh Sarai,1,Sheikh Sarai,11,AI Match (86%)
989,Okla,1,Okhla,268,AI Match (88%)
990,Okhla Delhi,1,Okhla,287,Alias Match
991,Bhurhadi,1,Nill,-,Unmatched
992,Namazuddin,1,Nizamuddin,240,AI Match (80%)
993,Kadarpur,1,Badarpur,283,AI Match (87%)
994,Sagreter Noida,1,Sagreter Noida,Outside,Outside Delhi
995,Chandnichowk,1,Chandni Chowk,153,AI Match (96%)
996,Lal Kua,1,Nill,-,Unmatched
997,Sunder Nagar,1,Sunder Nagar,212,Alias Match
998,Mehran Nagar,1,Ram Nagar,174,AI Match (76%)
999,Sec 7 Duwarka,1,Dwarka Sector 1,246,AI Match (88%)
1000,Sector 44,1,Vasant Kunj Sector A,274,AI Match (80%)
1001,Shaadi Pur,1,Nill,-,Unmatched
1002,Gagipur Murga Mandi,1,Nill,-,Unmatched
1003,Gori Gate,1,Mori Gate,153,AI Match (88%)
1004,Lanpat Nagar,1,Lajpat Nagar,3,AI Match (91%)
1005,Grater Calas,1,Nill,-,Unmatched
1006,Hauz-Khas,1,Hauz Khas,8,Alias Match
1007,Bata Chawk Faridabad,1,Bata Chawk Faridabad,Outside,Outside Delhi
1008,Namazudin,1,Nill,-,Unmatched
1009,Ballabgarh,1,Nill,-,Unmatched
1010,Mayur Bihar Phase -3,1,Mayur Vihar Phase III,223,AI Match (94%)
1011,Kelash Colony,1,Kailash Colony,9,AI Match (88%)
1012,Kelash Coloney,1,Kailash Colony,9,AI Match (85%)
1013,Taimoor Nagar,1,Zakir Nagar,261,AI Match (75%)
1014,Bharati Nagar,1,Hari Nagar,206,AI Match (86%)
1015,Ballabhagarh,1,Nill,-,Unmatched
1016,Chandni Chock,1,Chandni Chowk,153,AI Match (92%)
1017,Ambedkar Geet,1,Ambedkar Nagar,22,AI Match (76%)
1018,Mahatma Gandhi Road,1,Nill,-,Unmatched
1019,Bhiwani,1,Nill,-,Unmatched
1020,Modwane,1,Nill,-,Unmatched
1021,Babarpur,1,Babar Pur,105,AI Match (94%)
1022,Friend Colony East,1,Friends Colony East,14,AI Match (97%)
1023,Majid Moth,1,Nill,-,Unmatched
1024,Jamia Humdard,1,Jamia Millia Islamia,273,Alias Match
1025,Tcil Bhawan,1,Nill,-,Unmatched
1026,Grater Kailash,1,Greater Kailash,9,AI Match (96%)
1027,Siar Park,1,Chitranjan Park,15,AI Match (75%)
1028,Okhala Sabji Mandi,1,Nill,-,Unmatched
1029,Lajpat Nagar Pocket 2,1,Lajpat Nagar,6,Alias Match
1030,Jasola Apollo,1,Jasola Vihar,273,Alias Match
1031,Greater Kailas,1,Greater Kailash-I,9,Sub-Ward Match
1032,Trilok Puri,1,Trilok Puri,242,Exact Ward Match
1033,Friends Colony,1,New Friends Colony,14,Alias Match
1034,Pm Sangralay,1,Nill,-,Unmatched
1035,Srinivaspuri,1,Nill,-,Unmatched
1036,Hanshal Plaza,1,Nill,-,Unmatched
1037,"Khanpur, Govind Puri",1,Khanpur,26,Alias Match
1038,Harkesh Nagar Okhla,1,Okhla,287,Alias Match
1039,Sai Mandir,1,Nill,-,Unmatched
1040,Dilsadhagadan,1,Nill,-,Unmatched
1041,Saftarjang Hospital,1,Safdarjung Hospital,218,AI Match (89%)
1042,Ganadi Nagan Market,1,Nill,-,Unmatched
1043,Chauhan Mohalla,1,Nill,-,Unmatched
1044,Bharat Nagar,1,Hari Nagar,206,AI Match (81%)
1045,Noida Mamura,1,Noida Mamura,Outside,Outside Delhi
1046,Khanpur Tagdi,1,Khanpur,26,Alias Match
1047,Pancham Enclave,1,Panchsheel Enclave,15,AI Match (78%)
1048,R K Puri,1,R. K. Puram,264,AI Match (82%)
1049,Rajoli Gardan,1,Rajouri Garden,185,AI Match (81%)
1050,Sanjay Colony,1,Janta Colony,112,AI Match (80%)
1051,Gagan,1,Nill,-,Unmatched
1052,K.R.Mangalam Public School,1,Nill,-,Unmatched
1053,Red Cloth,1,Nill,-,Unmatched
1054,Noida Sec63,1,Noida Sec63,Outside,Outside Delhi
1055,"Matangi, Khanpur",1,Khanpur,26,Alias Match
1056,Safdarjung Hospita,1,Safdarjung Hospital / Enclave,218,Alias Match
1057,Railway Station Purani Delhi,1,New Delhi Railway Station,182,AI Match (91%)
1058,Nheru Enclave,1,Nehru Enclave,15,AI Match (92%)
1059,Lajpat Nagar Ef Bhivag,1,Lajpat Nagar,6,Alias Match
1060,Salarpur,1,Sagarpur,239,AI Match (87%)
1061,Kapassera,1,Kapashera,275,AI Match (88%)
1062,Palika Bhawan,1,Nill,-,Unmatched
1063,"Saket Nagar, Market",1,Saket,16,Alias Match
1064,Kailash Hills,1,Kailash Hills,10,Alias Match
1065,Haigh Courts,1,Nill,-,Unmatched
1066,"Madangiri, Khanpur Gao",1,Khanpur,24,Sub-Ward Match
1067,Ganadi Nagar,1,Gandhi Nagar,149,AI Match (91%)
1068,Noida Sec 16,1,Noida Sec 16,Outside,Outside Delhi
1069,Maujpur Babarpur,1,Maujpur,97,Sub-Ward Match
1070,Usmanpur,1,New Usmanpur,119,Sub-Ward Match
1071,Ganga Vihar,1,Sangam Vihar,292,AI Match (86%)
1072,Rk Puram Sec1,1,R.K. Puram,216,Alias Match
1073,Aandhvihar,1,Anand Vihar,151,AI Match (85%)
1074,"Chatarpur, Market",1,Nill,-,Unmatched
1075,Kadkadduma,1,Nill,-,Unmatched
1076,Saketpur,1,Saket,16,AI Match (76%)
1077,Sahdhra Market,1,Nill,-,Unmatched
1078,Noida Pari Chowk,1,Noida Pari Chowk,Outside,Outside Delhi
1079,Dwarika Court,1,Nill,-,Unmatched
1080,Avadh Rani,1,Nill,-,Unmatched
1081,Chandani Chock,1,Chandni Chowk,153,AI Match (88%)
1082,Pampose Enclave,1,Nill,-,Unmatched
1083,Grater Kailash 2,1,Greater Kailash II,15,AI Match (96%)
1084,Chankpuri,1,Chanakyapuri,217,AI Match (85%)
1085,Sector 50 Noida,1,Sector 50 Noida,Outside,Outside Delhi
1086,Saket Nagar Market,1,Saket,16,Alias Match
1087,Mbs Mall,1,Nill,-,Unmatched
1088,Vidya Niketan School,1,Nill,-,Unmatched
1089,Lodhi Road Mousam Vibhag Office,1,Lodhi Road,212,Alias Match
1090,Hemkunt Colony,1,INA Colony,213,AI Match (75%)
1091,Dhola Kuan,1,Dhaula Kuan,215,AI Match (85%)
1092,Chhawani,1,Chhawla,276,AI Match (80%)
1093,Chaudary Mod Gaziabad,1,Nill,-,Unmatched
1094,Ududyog Nagar,1,Nill,-,Unmatched
1095,Connaught Place Market,1,Connaught Place,211,Alias Match
1096,Sadar Bajar Delhi,1,Nill,-,Unmatched
1097,Sauth X,1,Nill,-,Unmatched
1098,Jamuna Paar,1,Nill,-,Unmatched
1099,Dwarka Mod Mod,1,Dwarka,246,Alias Match
1100,Ishwar Nagar,1,Vishwash Nagar,148,AI Match (84%)
1101,Anand Gram,1,Nill,-,Unmatched
1102,Bhikaji Cama Place,1,Nill,-,Unmatched
1103,Kalkaji Extension,1,Kalkaji Extension,15,Alias Match
1104,Maharashtra,1,Nill,-,Unmatched
1105,Kamal Cinema,1,Nill,-,Unmatched
1106,Turkman Gate Delhi,1,Turkman Gate,181,Sub-Ward Match
1107,Greater Kailash Enclave,1,Greater Kailash,9,Alias Match
1108,Nri Colony,1,Nimri Colony,117,AI Match (90%)
1109,Okhla Nsic,1,Okhla,287,Alias Match
1110,Pacific Mall Jasola,1,Jasola Vihar,273,Alias Match
1111,Lado Sarai Furniture Road Terminal,1,Nill,-,Unmatched
1112,Mori Get,1,Mori Gate,153,AI Match (82%)
1113,Solan Himachal Pardesh,1,Nill,-,Unmatched
1114,Lado Sarai Furniture Terminal,1,Nill,-,Unmatched
1115,"Sangam Vihar Terminal,",1,Sangam Vihar,292,Alias Match
1116,"Madan Puri Secto,7",1,Nill,-,Unmatched
1117,Madangiri Khanpur,1,Khanpur,26,Alias Match
1118,"Saket Nagar, Court",1,Saket,16,Alias Match
1119,T1 Departure,1,Nill,-,Unmatched
1120,Noida Sector 1,1,Noida Sector 1,Outside,Outside Delhi
1121,Pacific Mall Jasol,1,Nill,-,Unmatched
1122,Sakri Gate,1,Nill,-,Unmatched
1123,Lodhi Colony (Lodhi Road Crossing),1,Lodhi Colony,212,Alias Match
1124,Shahpur Junction,1,Nill,-,Unmatched
1125,Arun Vihar,1,Yamuna Vihar,76,AI Match (81%)
1126,Rk Puram Sector 2,1,R.K. Puram,216,Alias Match
1127,Rajnath Marg,1,Nill,-,Unmatched
1128,Harkes Nagar Okhla,1,Okhla,287,Alias Match
1129,Airport Mehram Nagar,1,Ram Nagar,174,Sub-Ward Match
1130,Hauj Khas,1,Hauz Khas,8,AI Match (88%)
1131,Patparganj (Madhu Vihar),1,Patparganj,234,Alias Match
1132,Mehrauli Badarpur Road,1,Mehrauli,278,Alias Match
1133,Shain Bagh,1,Shaheen Bagh,273,AI Match (81%)
1134,Apollo Gas Agency,1,Nill,-,Unmatched
1135,Ladhi Road,1,Lodhi Road,212,AI Match (90%)
1136,Ambedkar Nagar Sector Iv,1,Ambedkar Nagar,18,Alias Match
1137,Bikaji Cama,1,Nill,-,Unmatched
1138,Delhi High Court,1,Nill,-,Unmatched
1139,Arya Samaj Mandir New Delhi,1,Nill,-,Unmatched
1140,Rohani,1,Rohini,44,AI Match (83%)
1141,Sector 45,1,Vasant Kunj Sector A,274,AI Match (80%)
1142,Rk Puram Sector 4,1,R.K. Puram,216,Alias Match
1143,Palam Palam,1,Palam,255,Sub-Ward Match
1144,Tusyana,1,Nill,-,Unmatched
1145,Vihikaji,1,Nill,-,Unmatched
1146,Sahadhra Market,1,Nill,-,Unmatched
1147,Dilsadhgadan,1,Dilshad Garden,110,AI Match (76%)
1148,Nai Delhi Sadar Bajar,1,Nill,-,Unmatched
1149,Sear Parak,1,Nill,-,Unmatched
1150,Kavi Nagar Gaziabad,1,Nill,-,Unmatched
1151,Canghut Palace,1,Connaught Place,211,AI Match (75%)
1152,Okhla Face 3,1,Okhla,287,Alias Match
1153,Inaba Gate,1,Nill,-,Unmatched
1154,Motilal Nehru College,1,Nill,-,Unmatched
1155,Square Mall Saket,1,Saket,16,Alias Match
1156,Neharwali,1,Nill,-,Unmatched
1157,Arun Joki Park,1,Nill,-,Unmatched
1158,Seva Nagar Chowk,1,Nill,-,Unmatched
1159,Dakshinpuri B Block,1,Dakshinpuri,18,Alias Match
1160,Cjo Office,1,Nill,-,Unmatched
1161,Suare Maul,1,Nill,-,Unmatched
1162,Tekhand,1,Tekhand,279,Exact Ward Match
1163,Indira Gandhi,1,Nill,-,Unmatched
1164,Vikas Ji Gana Place Thank You Bro,1,Nill,-,Unmatched
1165,Sahidabad,1,Nill,-,Unmatched
1166,Shahpur Jath,1,Shapur Jat,11,AI Match (90%)
1167,Sant Colony,1,Janta Colony,112,AI Match (86%)
1168,Khsux Khas,1,Nill,-,Unmatched
1169,Green Park Green Park,1,Green Park,8,Alias Match
1170,Sikander Pur,1,Nill,-,Unmatched
1171,Canconnaught Place,1,Connaught Place,211,AI Match (90%)
1172,Vijaynagar Ghaziabad,1,Vijaynagar Ghaziabad,Outside,Outside Delhi
1173,Connaught Palace,1,Connaught Place,211,AI Match (96%)
1174,Dr. Ambedkar Colony Chhatarpur Village,1,Chhatarpur,290,Sub-Ward Match
1175,Hauz Khas Enclave,1,Hauz Khas,8,Alias Match
1176,Rose Garden,1,Tagore Garden,180,AI Match (75%)
1177,Saket Market,1,Saket,16,Alias Match
1178,Rk Puram Sector 12,1,R.K. Puram,216,Alias Match
1179,Delhi Turkman Gate,1,Turkman Gate,181,Sub-Ward Match
1180,Aastha Kunj Park,1,Nill,-,Unmatched
1181,Khanpur Patti,1,Khanpur,26,Alias Match
1182,Rajinder Place,1,Nill,-,Unmatched
1183,It Get Hauz Khas,1,Hauz Khas,8,Alias Match
1184,Dwarika Sector 10,1,Dwarka Sector 10,246,AI Match (86%)
1185,Greater Kailash Metro,1,Greater Kailash,9,Alias Match
1186,Socket Metro Station,1,Nill,-,Unmatched
1187,Shyam Nagar,1,Aya Nagar,294,AI Match (80%)
1188,Vasundhara,1,Nill,-,Unmatched
1189,Sarai Rohilla,1,Nill,-,Unmatched
1190,Chandi Chowk,1,Chandni Chowk,153,AI Match (96%)
1191,Private Colony,1,INA Colony,213,AI Match (75%)
1192,Madan Giri Fab Hotel,1,Nill,-,Unmatched
1193,Imt Sector 14 Rohtak,1,Imt Sector 14 Rohtak,Outside,Outside Delhi
1194,Sahibabad Ghaziabad,1,Sahibabad Ghaziabad,Outside,Outside Delhi
1195,Natthu Colony Chauk,1,INA Colony,213,AI Match (75%)
1196,Pushpa Market Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
1197,Gagan Bas Stop,1,Nill,-,Unmatched
1198,Loha Mandi,1,Nill,-,Unmatched
1199,Gree Nagar,1,Prem Nagar,73,AI Match (80%)
1200,Canal Colony,1,Janta Colony,112,AI Match (83%)
1201,Rajeev Gandhi,1,Nill,-,Unmatched
1202,Rewari,1,Rewari,Outside,Outside Delhi
1203,Noida Film City,1,Noida Film City,Outside,Outside Delhi
1204,Kargil Chowk,1,Nill,-,Unmatched
1205,Indraprasth Depo,1,Nill,-,Unmatched
1206,Lodhi Coloney Road,1,Lodhi Road,212,AI Match (100%)
1207,Chandrapur,1,Nill,-,Unmatched
1208,Kamla Nagar Delhi,1,Kamla Nagar,124,Sub-Ward Match
1209,Ambala,1,Nill,-,Unmatched
1210,Battery Kailash,1,Greater Kailash,9,AI Match (80%)
1211,Aurangzeb,1,Nill,-,Unmatched
1212,Rohini Sector 5,1,Rohini,44,Alias Match
1213,Chawdi Bazar,1,Nill,-,Unmatched
1214,Bombayd,1,Nill,-,Unmatched
1215,Individual,1,Nill,-,Unmatched
1216,Jawahar Lal Nehru Stadium (Terminal),1,Nill,-,Unmatched
1217,Ajadpur Metro Station,1,Nill,-,Unmatched
1218,Madan Pur Khadar Village,1,Ali Village,283,AI Match (77%)
1219,Indrapuram Aà,1,Nill,-,Unmatched
1220,Sukhdev Vihar (Depot),1,Sukhdev Vihar,14,Alias Match
1221,Kailash Colony Metro Station,1,Kailash Colony,9,Alias Match
1222,Shakhopur,1,Shakarpur,203,AI Match (77%)
1223,Rajiv Nagar,1,Raj Nagar,262,AI Match (90%)
1224,Define Colony,1,Defence Colony,14,AI Match (88%)
1225,Amrit Nagar,1,Hari Nagar,206,AI Match (85%)
1226,Neta Ji Nagar,1,Jamia Nagar,273,AI Match (75%)
1227,Jawahar Lala Nehru Stadium,1,Nill,-,Unmatched
1228,Bus Stan,1,Nill,-,Unmatched
1229,Gole Market,1,Nill,-,Unmatched
1230,Patang Wala,1,Nill,-,Unmatched
1231,Otala,1,Nill,-,Unmatched
1232,Senteral Market,1,Nill,-,Unmatched
1233,Auto Sdand,1,Nill,-,Unmatched
1234,Motinagar,1,Moti Nagar,138,AI Match (94%)
1235,Ram Manohar Lohiya Hospital,1,Nill,-,Unmatched
1236,Ghaziabad (Vaishali),1,Ghaziabad Vaishali,Outside,Outside Delhi
1237,Vmc Safdarjung Hospital,1,Safdarjung Hospital,218,Alias Match
1238,Inmapuri Market,1,Nill,-,Unmatched
1239,Mahur Bhair,1,Nill,-,Unmatched
1240,Rohini Sector 4,1,Rohini,44,Alias Match
1241,Shakurpur,1,Shakarpur,203,AI Match (88%)
1242,Anuj Ganj,1,Nill,-,Unmatched
1243,Lal Sahab Market,1,Nill,-,Unmatched
1244,Hari Nagar,1,Hari Nagar,206,Exact Ward Match
1245,Grise Hotel,1,Nill,-,Unmatched
1246,Shrinivas Puri,1,Nill,-,Unmatched
1247,Sahdev,1,Nill,-,Unmatched
1248,Khanpur Defence Colony,1,Defence Colony,14,Alias Match
1249,Lal Shabe Market,1,Nill,-,Unmatched
1250,Ishu Sarai,1,Nill,-,Unmatched
1251,Tilak Nagar,1,Tilak Nagar,203,Alias Match
1252,Dlf Colony,1,Kailash Colony,9,AI Match (75%)
1253,Sarioni Nagar,1,Sarojini Nagar,213,AI Match (88%)
1254,Lohdhi Road,1,Lodhi Road,212,AI Match (95%)
1255,Janghpura,1,Jungpura,14,AI Match (82%)
1256,Jankpuri,1,Janakpuri,205,AI Match (94%)
1257,Gkhone,1,Nill,-,Unmatched
1258,Bus Sdan,1,Nill,-,Unmatched
1259,Adazpur Metro Station,1,Nill,-,Unmatched
1260,Lala Shaib Market,1,Nill,-,Unmatched
1261,Sunheri Pulla,1,Nill,-,Unmatched
1262,Passport Office,1,Nill,-,Unmatched
1263,Mulchandar E-5,1,Nill,-,Unmatched
1264,Daulat Hua,1,Dhaula Kuan,215,AI Match (76%)
1265,Amar Colany,1,Amar Colony,6,AI Match (90%)
1266,Raja Garden,1,Raja Garden,198,Alias Match
1267,Siya Pass,1,Nill,-,Unmatched
1268,Kotlachandar,1,Nill,-,Unmatched
1269,Sri Nivas Puri,1,Sri Niwaspuri,266,AI Match (88%)
1270,Naharu Nagar,1,Hari Nagar,206,AI Match (81%)
1271,Vivak Vihar,1,Vivek Vihar,127,AI Match (90%)
1272,Sadik Pur,1,Nill,-,Unmatched
1273,Narayana Vihar,1,Nirman Vihar,227,AI Match (76%)
1274,Sunehari Pulla,1,Nill,-,Unmatched
1275,Shadra Termainaol,1,Nill,-,Unmatched
1276,Siddharth Nagar,1,Nill,-,Unmatched
1277,Aasharam,1,Ashram Chowk,14,AI Match (85%)
1278,Shinivas Puri,1,Nill,-,Unmatched
1279,Sangam Nager,1,Sangam Park,82,AI Match (78%)
1280,Neharu Nagar,1,Hari Nagar,206,AI Match (81%)
1281,Saket Nager,1,Saket,16,Alias Match
1282,Rajghat Power House,1,Nill,-,Unmatched
1283,Lajpatnager (Center Market),1,Nill,-,Unmatched
1284,Great Kailash Phase 1,1,Greater Kailash I,9,AI Match (84%)
1285,Maharani Bag,1,Maharani Bagh,14,AI Match (96%)
1286,Sri Bhoj,1,Nill,-,Unmatched
1287,Bsf Canteen,1,Nill,-,Unmatched
1288,Aerocity,1,Nill,-,Unmatched
1289,Gurudwara Pura,1,Nill,-,Unmatched
1290,Subhash Nagar,1,Subhash Nagar,197,Alias Match
1291,Alpha 1 (Greater Noida),1,Alpha 1 Greater Noida,Outside,Outside Delhi
1292,Defence Colony Block C,1,Defence Colony,14,Alias Match
1293,Bhairo Mandir,1,Nill,-,Unmatched
1294,Imampur Market,1,Nill,-,Unmatched
1295,Badkal Ganj,1,Nill,-,Unmatched
1296,Inka Puri Market,1,Nill,-,Unmatched
1297,Chavadi Mod,1,Nill,-,Unmatched
1298,Shahdara (Terminal),1,Shahdara,232,Alias Match
1299,Defence Market,1,Nill,-,Unmatched
1300,Vasant Nagar,1,Sant Nagar (East of Kailash),10,AI Match (90%)
1301,Sikanderpur,1,Inder Puri,202,AI Match (76%)
1302,Sector 72,1,Vasant Kunj Sector A,274,AI Match (80%)
1303,Lajpat Nagar 3,1,Lajpat Nagar III,6,Alias Match
1304,Sector 57,1,Vasant Kunj Sector A,274,AI Match (80%)
1305,Puspa Vihar,1,Pushp Vihar,19,AI Match (90%)
1306,Sector 8,1,Vasant Kunj Sector A,274,AI Match (85%)
1307,Madan Giri Kasturi Scholar School,1,Nill,-,Unmatched
1308,Chirag Delhi Electronic Mart,1,Chirag Delhi,11,Alias Match
1309,Sector 42 Aur,1,Nill,-,Unmatched
1310,Aazadpur Metro Station,1,Nill,-,Unmatched
1311,South Daksh,1,South Extension,12,AI Match (76%)
1312,Arjun Vihar,1,Yamuna Vihar,76,AI Match (78%)
1313,Dilshdhagadan,1,Nill,-,Unmatched
1314,Khanpy,1,Khanpur,24,AI Match (76%)
1315,Lakshmi Bai Nagar,1,Nill,-,Unmatched
1316,"Munirka, New Delhi",1,Munirka,269,Alias Match
1317,Sector 31,1,Vasant Kunj Sector A,274,AI Match (80%)
1318,S.D.A,1,Nill,-,Unmatched
1319,Sector 60,1,Vasant Kunj Sector A,274,AI Match (80%)
1320,Sector 42,1,Vasant Kunj Sector A,274,AI Match (80%)
1321,Sector 18,1,Vasant Kunj Sector A,274,AI Match (80%)
1322,Sufdarjung Terminal,1,Nill,-,Unmatched
1323,Sector 121,1,Vasant Kunj Sector A,274,AI Match (75%)
1324,Kidvayi Nagar,1,Kidwai Nagar,213,AI Match (88%)
1325,Rejoining Gadan,1,Nill,-,Unmatched
1326,Panchsheel Vihar,1,Panchsheel Park,11,AI Match (83%)
1327,Som Vihar,1,Ashok Vihar,87,AI Match (80%)
1328,Sabal Nagar,1,Aya Nagar,294,AI Match (80%)
1329,Sarojal Vihar,1,Sarita Vihar,273,AI Match (80%)
1330,Seva Theerth,1,Nill,-,Unmatched
1331,Sector 62 Gurgaon,1,Sector 62 Gurgaon,Outside,Outside Delhi
1332,Sector 38,1,Vasant Kunj Sector A,274,AI Match (80%)
1333,Maharani Bhag,1,Maharani Bagh,14,AI Match (92%)
1334,Sadig Nagar,1,Sadh Nagar,248,AI Match (85%)
1335,G.K. 1 Malviya Nagar,1,Malviya Nagar,11,Alias Match
1336,Seemapuru,1,Seelampur,240,AI Match (77%)
1337,Sotak,1,Nill,-,Unmatched
1338,Go Colors Store Gurugram,1,Go Colors Store Gurugram,Outside,Outside Delhi
1339,Bharti Nagar,1,Hari Nagar,206,AI Match (90%)
1340,G.K.1 Malviya Nagar,1,Malviya Nagar,11,Alias Match
1341,Janakpur,1,Janakpuri,205,AI Match (94%)
1342,Freinds Colony,1,New Friends Colony,14,AI Match (92%)
1343,Palika Vihar,1,Vikram Vihar (Lajpat Nagar),6,AI Match (75%)
1344,Gurugram Cyber City,1,Gurugram Cyber City,Outside,Outside Delhi
1345,Malvi Nagao,1,Malviya Nagar,13,AI Match (83%)
1346,Shapur,1,Shapur Jat,11,Sub-Ward Match
1347,Gautam Buddh Nagar,1,Nill,-,Unmatched
1348,Narhera,1,Narela,28,AI Match (76%)
1349,Azad Nagar,1,Azad Nagar,142,Exact Ward Match
1350,Sector 45 Noida,1,Sector 45 Noida,Outside,Outside Delhi
1351,Gk 2,1,Greater Kailash II,15,Alias Match
1352,Shout Ex,1,South Extension,12,AI Match (87%)
1353,Pahad Ghanj,1,Pahar Ganj,184,AI Match (85%)
1354,Bapa Nagar,1,Aya Nagar,294,AI Match (84%)
1355,Sector 81 Noida,1,Sector 81 Noida,Outside,Outside Delhi
1356,Shiniwas,1,Nill,-,Unmatched
1357,Jln Stadium,1,Nill,-,Unmatched
1358,Sundar Nagri,1,Sunder Nagari,85,AI Match (88%)
1359,L.S.R Malviya Nagar,1,Malviya Nagar,11,Alias Match
1360,Civil Colony,1,INA Colony,213,AI Match (75%)
1361,Sector 12A Gurgaon,1,Sector 12a Gurgaon,Outside,Outside Delhi
1362,Panjabi,1,Nill,-,Unmatched
1363,Pocket B,1,Nill,-,Unmatched
1364,Gorakh Puri-1,1,Nill,-,Unmatched
1365,Gorakh Puri-2,1,Nill,-,Unmatched
1366,Saini Park,1,Sawan Park,98,AI Match (80%)
1367,Lal Quila,1,Nill,-,Unmatched
1368,Sector 54 Noida,1,Sector 54 Noida,Outside,Outside Delhi
1369,Greater Kelash Market,1,Nill,-,Unmatched
1370,Sector 63 Noida,1,Sector 63 Noida,Outside,Outside Delhi
1371,Max Hospital Saket,1,Saket,16,Alias Match
1372,Safdurjung Terminal,1,Nill,-,Unmatched
1373,Golf Links,1,Golf Links,212,Alias Match
1374,Sector 16 Noida,1,Sector 16 Noida,Outside,Outside Delhi
1375,Vinowa Pori,1,Nill,-,Unmatched
1376,Palwal Faridabad,1,Palwal Faridabad,Outside,Outside Delhi
1377,Noida Sector 51,1,Noida Sector 51,Outside,Outside Delhi
1378,Shiniwaspuri,1,Nill,-,Unmatched
1379,Vaishali Sectors 6,1,Vaishali Sectors 6,Outside,Outside Delhi
1380,Archna Shopping Arcade,1,Nill,-,Unmatched
1381,Malviya,1,Malviya Nagar,13,Sub-Ward Match
1382,Saket Gaon,1,Saket,16,Alias Match
1383,Saket Archna Shopping Arcade,1,Saket,16,Alias Match
1384,Delhi Railway Station Gate No.2,1,New Delhi Railway Station,182,AI Match (91%)
1385,Iskcon Mandir,1,Nill,-,Unmatched
1386,Gokulpuri,1,Gokalpur,72,AI Match (82%)
1387,Hindu College,1,Nill,-,Unmatched
1388,Mandalam,1,Nill,-,Unmatched
1389,Sector 137 Noida,1,Sector 137 Noida,Outside,Outside Delhi
1390,Reference Colony,1,Defence Colony,14,AI Match (86%)
1391,Iit Campus Hostel,1,IIT Delhi,8,Alias Match
1392,Sector 126 Noida,1,Sector 126 Noida,Outside,Outside Delhi
1393,Sector 15 Gurugram,1,Sector 15 Gurugram,Outside,Outside Delhi
1394,Gagan Vihar,1,Anand Vihar,151,AI Match (81%)
1395,Kali Ghata,1,Nill,-,Unmatched
